Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
55,21.32,GT,1,7.995,3.9975,70.0,20.0,,,,10.0,,,,,,,,,,,100.0
56,63.96,GT,1,13.325000000000001,57.2975,,,,,,,100.0,,,,,,,,,,100.0
57,500.0,SLV,1,500.0,500.0,80.0,,,,20.0,,,,,,,,,,,,100.0
58,300.0,SLV,1,300.0,600.0,50.0,20.0,,,30.0,,,,,,,,,,,,100.0
59,300.0,SLV,1,75.0,12.5,,,,,,,100.0,,,,,,,,,,100.0
60,1500.0,SLV,2,50.0,8.333333333333334,50.0,10.0,,,,,,,,,,,,,,40.0,100.0
61,800.0,SLV,2,400.0,400.0,50.0,,,,25.0,,,25.0,,,,,,,,,100.0
62,800.0,SLV,2,300.0,100.0,80.0,,,,20.0,,,,,,,,,,,,100.0
63,300.0,SLV,1,100.0,33.333333333333336,70.0,,,,30.0,,,,,,,,,,,,100.0
64,350.0,SLV,1,170.0,340.0,75.0,,,,25.0,,,,,,,,,,,,100.0
65,100.0,SLV,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
66,70.0,SLV,2,100.0,8.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
67,200.0,SLV,1,200.0,200.0,80.0,,,,20.0,,,,,,,,,,,,100.0
68,350.0,SLV,1,100.0,100.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
69,200.0,SLV,2,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
70,150.0,SLV,2,150.0,150.0,40.0,30.0,,,30.0,,,,,,,,,,,,100.0
71,300.0,SLV,1,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
72,400.0,SLV,2,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,,100.0
73,200.0,SLV,1,100.0,50.0,50.0,50.0,,,,,,,,,,,,,,,100.0
74,500.0,SLV,2,300.0,100.0,75.0,,,,25.0,,,,,,,,,,,,100.0
75,100.0,SLV,1,600.0,100.0,,100.0,,,,,,,,,,,,,,,100.0
76,300.0,SLV,2,250.0,250.0,100.0,100.0,,,50.0,,,,,,,,,,,,250.0
77,300.0,SLV,2,50.0,8.333333333333334,80.0,,,,20.0,,,,,,,,,,,,100.0
78,53.300000000000004,HND,2,63.96,63.96,50.0,,,40.0,10.0,,,,,,,,,,,,100.0
79,101.27000000000001,HND,2,31.98,31.98,,,,,,,,,,,,,,,,,0.0
80,53.300000000000004,HND,1,42.64,42.64,50.0,,,30.0,,20.0,,,,,,,,,,,100.0
81,21.32,GT,1,37.31,74.62,25.0,,,,,,,,,,,,,75.0,,,100.0
82,31.98,HND,1,12.792000000000002,4.264,60.0,,,,,40.0,,,,,,,,,,,100.0
83,12.792000000000002,HND,1,5.33,2.665,,,,,,,,,,,,,,,,,0.0
84,6.396,GT,1,3.7310000000000003,3.7310000000000003,80.0,,,,,20.0,,,,,,,,,,,100.0
85,225.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,,100.0
86,300.0,SLV,1,60.0,60.0,60.0,,,,30.0,,,,,,,,,,,,90.0
87,18.655,HND,1,10.66,10.66,80.0,20.0,,,,,,,,,,,,,,,100.0
88,200.0,SLV,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
89,400.0,SLV,1,200.0,200.0,15.0,75.0,,,10.0,,,,,,,,,,,,100.0
90,700.0,SLV,1,1.0659999999999998,1.0659999999999998,,,,,,,,,,,,,,,,,0.0
91,300.0,SLV,1,200.0,200.0,70.0,,,,30.0,,,,,,,,,,,,100.0
92,100.0,SLV,1,150.0,50.0,20.0,,,,,,,,,,,,,,80.0,,100.0
93,250.0,SLV,1,200.0,200.0,,,,,,,,,,,,,,,,,0.0
94,100.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,,100.0
95,550.0,SLV,1,200.0,200.0,75.0,,,,25.0,,,,,,,,,,,,100.0
96,500.0,SLV,1,200.0,100.0,80.0,20.0,,,,,,,,,,,,,,,100.0
97,350.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,,100.0
98,100.0,SLV,1,150.0,75.0,70.0,20.0,,,10.0,,,,,,,,,,,,100.0
99,130.0,SLV,1,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
100,120.0,SLV,1,120.0,120.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
101,200.0,SLV,1,200.0,200.0,100.0,,,,,,,,,,,,,,,,100.0
102,200.0,SLV,1,200.0,200.0,50.0,,,,50.0,,,,,,,,,,,,100.0
103,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
104,200.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,,100.0
105,400.0,SLV,1,400.0,400.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
106,100.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
107,100.0,SLV,1,150.0,150.0,50.0,,,,50.0,,,,,,,,,,,,100.0
108,120.0,SLV,1,100.0,16.666666666666668,80.0,5.0,,,15.0,,,,,,,,,,,,100.0
109,200.0,SLV,1,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,100.0
110,400.0,SLV,1,100.0,100.0,70.0,10.0,,,20.0,,,,,,,,,,,,100.0
111,150.0,SLV,2,40.0,13.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
112,550.0,SLV,1,300.0,300.0,,,,,,,,,,,,,,,,,0.0
113,200.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
114,150.0,SLV,1,100.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
115,300.0,SLV,2,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,,100.0
116,280.0,SLV,2,100.0,50.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
117,900.0,SLV,2,500.0,500.0,,,,,,,,,,,,,,,,,0.0
118,300.0,SLV,2,50.0,8.333333333333334,,,,,,,,,,,100.0,,,,,,100.0
119,300.0,SLV,2,300.0,300.0,25.0,50.0,,,25.0,,,,,,,,,,,,100.0
120,300.0,SLV,2,200.0,200.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
121,1100.0,SLV,2,300.0,300.0,,100.0,,,,,,,,,,,,,,,100.0
122,350.0,SLV,2,225.0,225.0,50.0,,,,50.0,,,,,,,,,,,,100.0
123,3000.0,SLV,2,300.0,100.0,,75.0,,,10.0,15.0,,,,,,,,,,,100.0
124,31.98,HND,1,31.98,31.98,60.0,40.0,,,,,,,,,,,,,,,100.0
125,79.95,HND,1,53.300000000000004,53.300000000000004,60.0,,,30.0,10.0,,,,,,,,,,,,100.0
126,26.650000000000002,HND,1,5.33,1.7766666666666666,100.0,,,,,,,,,,,,,,,,100.0
127,42.64,HND,2,100.0,16.666666666666668,,,,50.0,,50.0,,,,,,,,,,,100.0
128,37.31,HND,2,150.0,300.0,,,,,,,,,,,,,,,,,0.0
129,106.60000000000001,HND,2,42.64,21.32,40.0,10.0,,50.0,,,,,,,,,,,,,100.0
130,15.99,GT,2,7.995,7.995,60.0,,,,40.0,,,,,,,,,,,,100.0
131,15.99,GT,1,1.8655000000000002,8.021650000000001,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
132,26.650000000000002,GT,1,4.1574,4.1574,100.0,,,,,,,,,,,,,,,,100.0
133,35.711,HND,2,26.650000000000002,26.650000000000002,40.0,30.0,,,30.0,,,,,,,,,,,,100.0
134,63.96,HND,2,21.32,7.1066666666666665,70.0,,,,30.0,,,,,,,,,,,,100.0
135,58.63,HND,2,21.32,10.66,60.0,,,,40.0,,,,,,,,,,,,100.0
136,53.300000000000004,GT,1,10.66,45.838,60.0,,,30.0,,10.0,,,,,,,,,,,100.0
137,9.061,HND,1,18.655,6.218333333333334,,40.0,,40.0,20.0,,,,,,,,,,,,100.0
138,23.985,GT,2,7.995,7.995,,,,,,,,,,,,,,,,,0.0
139,20.254,GT,2,15.99,15.99,50.0,,,,,,25.0,,,,,,,25.0,,,100.0
140,10.66,GT,2,3.9975,3.9975,50.0,50.0,,,,,,,,,,,,,,,100.0
141,240.0,SLV,1,200.0,200.0,50.0,50.0,,,,,,,,,,,,,,,100.0
142,100.0,SLV,1,100.0,50.0,60.0,,,,30.0,,,,,,,,,,,,90.0
143,500.0,SLV,1,100.0,33.333333333333336,20.0,80.0,,,,,,,,,,,,,,,100.0
144,300.0,SLV,2,150.0,75.0,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
145,13.325000000000001,HND,1,13.325000000000001,13.325000000000001,70.0,30.0,,,,,,,,,,,,,,,100.0
146,100.0,HND,1,100.0,100.0,,,,,,,,,,,,,,,,,0.0
147,220.0,SLV,1,100.0,50.0,,30.0,,,40.0,,,,,,,,,,,20.0,90.0
148,200.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
149,300.0,SLV,1,300.0,300.0,50.0,,,20.0,30.0,,,,,,,,,,,,100.0
150,150.0,SLV,1,150.0,150.0,50.0,,,,50.0,,,,,,,,,,,,100.0
151,75.0,SLV,1,100.0,100.0,50.0,,,30.0,20.0,,,,,,,,,,,,100.0
152,50.0,SLV,1,50.0,50.0,50.0,,,,50.0,,,,,,,,,,,,100.0
153,300.0,SLV,1,150.0,150.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
154,200.0,SLV,1,150.0,150.0,50.0,20.0,,,30.0,,,,,,,,,,,,100.0
155,500.0,SLV,1,400.0,400.0,50.0,10.0,,,40.0,,,,,,,,,,,,100.0
156,400.0,SLV,1,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,,100.0
157,200.0,SLV,1,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
158,100.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
159,21.32,HND,2,60.0,60.0,80.0,20.0,,,,,,,,,,,,,,,100.0
160,150.0,SLV,1,75.0,12.5,100.0,,,,,,,,,,,,,,,,100.0
161,300.0,SLV,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,,100.0
162,100.0,SLV,1,100.0,100.0,70.0,10.0,,,20.0,,,,,,,,,,,,100.0
163,300.0,SLV,1,100.0,50.0,75.0,,,,25.0,,,,,,,,,,,,100.0
164,150.0,SLV,1,150.0,150.0,80.0,,10.0,,10.0,,,,,,,,,,,,100.0
165,300.0,SLV,1,150.0,150.0,10.0,75.0,,,15.0,,,,,,,,,,,,100.0
166,50.0,SLV,1,30.0,15.0,100.0,,,,,,,,,,,,,,,,100.0
167,30.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,,100.0
168,80.0,SLV,1,50.0,25.0,100.0,,,,,,,,,,,,,,,,100.0
169,1000.0,SLV,1,500.0,500.0,,,,,,,,,,,,,,,,,0.0
170,200.0,SLV,1,200.0,200.0,55.0,25.0,,,20.0,,,,,,,,,,,,100.0
171,100.0,SLV,1,100.0,16.666666666666668,80.0,,,,10.0,10.0,,,,,,,,,,,100.0
172,300.0,SLV,1,300.0,300.0,70.0,10.0,,,20.0,,,,,,,,,,,,100.0
173,200.0,SLV,1,200.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
174,180.0,SLV,1,150.0,50.0,50.0,20.0,,30.0,,,,,,,,,,,,,100.0
175,350.0,SLV,2,350.0,350.0,,,,,,,,,,,,,,,,,0.0
176,34.645,HND,1,200.0,200.0,60.0,,,10.0,30.0,,,,,,,,,,,,100.0
177,373.1,HND,1,1000.0,2000.0,,,,,,,,,,,,,,,,,0.0
178,26.650000000000002,HND,1,50.0,100.0,70.0,20.0,,10.0,,,,,,,,,,,,,100.0
179,63.96,HND,2,26.650000000000002,26.650000000000002,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
180,4.264,GT,2,1.599,0.2665,100.0,,,,,,,,,,,,,,,,100.0
181,53.300000000000004,HND,1,300.0,300.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
182,18.655,HND,1,15.99,15.99,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
183,42.64,HND,1,300.0,600.0,,,,,,,,,,,,,,,,,0.0
184,319.8,HND,2,600.0,2580.0,,,,,,,,,,,,,,,,,0.0
185,53.300000000000004,HND,2,100.0,100.0,,,,,,,,,,,,,,,,,0.0
186,4.797000000000001,GT,2,5.33,2.665,50.0,,,,,30.0,,,,,,20.0,,,,,100.0
187,15.99,GT,1,7.995,7.995,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
188,26.650000000000002,GT,1,300.0,300.0,75.0,,,,25.0,,,,,,,,,,,,100.0
189,200.0,SLV,1,200.0,100.0,50.0,40.0,,,10.0,,,,,,,,,,,,100.0
190,15.99,HND,2,10.66,5.33,,,,,,,,,,,,,,,,,0.0
191,340.0,SLV,1,300.0,300.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
192,200.0,SLV,2,100.0,200.0,60.0,10.0,,,30.0,,,,,,,,,,,,100.0
193,300.0,SLV,2,300.0,300.0,50.0,,30.0,,20.0,,,,,,,,,,,,100.0
194,200.0,SLV,1,200.0,100.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
195,42.64,HND,1,10.66,10.66,60.0,,,40.0,,,,,,,,,,,,,100.0
196,250.0,SLV,1,100.0,50.0,70.0,5.0,,,25.0,,,,,,,,,,,,100.0
197,300.0,SLV,1,500.0,166.66666666666666,,100.0,,,,,,,,,,,,,,,100.0
198,360.0,SLV,1,50.0,4.166666666666667,,100.0,,,,,,,,,,,,,,,100.0
199,350.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
200,280.0,SLV,1,50.0,16.666666666666668,100.0,,,,,,,,,,,,,,,,100.0
201,400.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,,100.0
202,600.0,SLV,2,100.0,430.0,60.0,,,,40.0,,,,,,,,,,,,100.0
203,200.0,SLV,1,150.0,150.0,80.0,20.0,,,,,,,,,,,,,,,100.0
204,150.0,SLV,1,75.0,75.0,50.0,50.0,,,,,,,,,,,,,,,100.0
205,300.0,SLV,1,60.0,60.0,45.0,15.0,,,40.0,,,,,,,,,,,,100.0
206,570.0,SLV,1,300.0,100.0,,,,75.0,25.0,,,,,,,,,,,,100.0
207,300.0,SLV,2,300.0,300.0,70.0,,,,30.0,,,,,,,,,,,,100.0
208,200.0,SLV,1,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,,100.0
209,5.33,GT,1,3.9975,3.9975,60.0,,,,,40.0,,,,,,,,,,,100.0
210,300.0,SLV,1,30.0,10.0,80.0,20.0,,,,,,,,,,,,,,,100.0
211,100.0,SLV,1,70.0,5.833333333333333,100.0,,,,,,,,,,,,,,,,100.0
212,250.0,SLV,1,50.0,25.0,100.0,,,,,,,,,,,,,,,,100.0
213,250.0,SLV,1,50.0,25.0,,100.0,,,,,,,,,,,,,,,100.0
214,180.0,SLV,1,50.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
215,500.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,,100.0
216,500.0,SLV,1,200.0,66.66666666666667,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
217,300.0,SLV,1,100.0,100.0,50.0,50.0,,,,,,,,,,,,,,,100.0
218,250.0,SLV,1,0.26649999999999996,0.26649999999999996,20.0,80.0,,,,,,,,,,,,,,,100.0
219,18.655,GT,1,0.7995,0.7995,80.0,10.0,,,,10.0,,,,,,,,,,,100.0
220,10.66,GT,1,28.782,28.782,50.0,,,,50.0,,,,,,,,,,,,100.0
221,3.7310000000000003,GT,1,1.599,0.2665,75.0,,,,25.0,,,,,,,,,,,,100.0
222,15.99,GT,1,7.995,2.665,15.0,75.0,,,10.0,,,,,,,,,,,,100.0
223,15.99,GT,1,11.193,3.731,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
224,53.300000000000004,HND,1,53.300000000000004,53.300000000000004,50.0,20.0,,,,,,30.0,,,,,,,,,100.0
225,27.716,GT,1,100.0,100.0,60.0,,,,40.0,,,,,,,,,,,,100.0
226,42.64,GT,1,1000.0,2000.0,50.0,,,,25.0,25.0,,,,,,,,,,,100.0
227,7.995,HND,1,13.325000000000001,13.325000000000001,60.0,10.0,,,,,,,,,30.0,,,,,,100.0
228,5.33,HND,1,10.66,10.66,50.0,25.0,25.0,,,,,,,,,,,,,,100.0
229,15.457,GT,1,5.33,2.665,100.0,,,,,,,,,,,,,,,,100.0
230,34.645,GT,1,37.31,74.62,40.0,,,,,,,,,,,20.0,,40.0,,,100.0
231,26.650000000000002,GT,1,26.650000000000002,26.650000000000002,25.0,,,,,,50.0,,,,,,,25.0,,,100.0
232,69.29,HND,1,230.0,230.0,70.0,,,,25.0,,,,,,,,,,,5.0,100.0
233,85.28,HND,1,120.0,20.0,60.0,,,20.0,20.0,,,,,,,,,,,,100.0
234,58.63,HND,1,100.0,200.0,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
235,85.28,HND,2,300.0,150.0,,,,,,,,,,,,,,,,,0.0
236,106.60000000000001,HND,2,79.95,159.9,70.0,15.0,,,15.0,,,,,,,,,,,,100.0
237,1000.0,HND,1,1000.0,4300.0,60.0,10.0,,,30.0,,,,,,,,,,,,100.0
238,31.98,HND,1,10.66,1.7766666666666666,50.0,25.0,,,,,,,,,,,,,,,75.0
239,10.66,GT,1,3.9975,3.9975,70.0,30.0,,,,,,,,,,,,,,,100.0
240,10.66,GT,1,19.721,19.721,25.0,50.0,,,25.0,,,,,,,,,,,,100.0
241,5.33,GT,1,3.9975,3.9975,50.0,,,,50.0,,,,,,,,,,,,100.0
242,53.300000000000004,GT,1,600.0,1200.0,50.0,,,,20.0,,,,,,,30.0,,,,,100.0
243,15.99,GT,1,10.66,10.66,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
244,15.99,GT,1,10.66,10.66,60.0,,,,30.0,10.0,,,,,,,,,,,100.0
245,21.32,GT,2,42.64,183.352,50.0,,,,,,50.0,,,,,,,,,,100.0
246,15.99,GT,2,5.33,5.33,50.0,,,,,,,,,,,,,50.0,,,100.0
247,15.99,HND,1,15.99,7.995,80.0,20.0,,,,,,,,,,,,,,,100.0
248,26.650000000000002,HND,1,200.0,200.0,50.0,50.0,,,,,,,,,,,,,,,100.0
249,23.985,GT,2,5.33,2.665,100.0,,,,,,,,,,,,,,,,100.0
250,31.98,HND,1,10.66,3.5533333333333332,70.0,,,,,,,,,,,,,,30.0,,100.0
251,53.300000000000004,GT,2,1000.0,2000.0,,15.0,,,,,,,,,,35.0,,50.0,,,100.0
252,47.97,GT,2,400.0,800.0,70.0,10.0,,,20.0,,,,,,,,,,,,100.0
253,13.325000000000001,GT,2,1.99875,1.99875,50.0,,,,30.0,20.0,,,,,,,,,,,100.0
254,47.97,HND,1,150.0,150.0,,,,,,,,,,,,,,,,,0.0
255,350.0,HND,1,350.0,350.0,,,,,,,,,,,,,,,,,0.0
256,200.0,HND,1,800.0,800.0,,,,,,,,,,,,,,,,,0.0
257,14.924000000000001,GT,1,149.24,149.24,80.0,,,,,20.0,,,,,,,,,,,100.0
258,53.300000000000004,GT,1,53.300000000000004,53.300000000000004,40.0,25.0,,,,,35.0,,,,,,,,,,100.0
259,15.99,GT,2,3.7310000000000003,0.6218333333333333,50.0,,,,50.0,,,,,,,,,,,,100.0
260,37.31,GT,2,15.99,15.99,75.0,,25.0,,,,,,,,,,,,,,100.0
261,346.45,GT,2,319.8,319.8,30.0,70.0,,,,,,,,,,,,,,,100.0
262,53.300000000000004,GT,2,31.98,31.98,,,,,,,75.0,,,25.0,,,,,,,100.0
263,15.99,GT,1,300.0,600.0,70.0,,,15.0,15.0,,,,,,,,,,,,100.0
264,17.589000000000002,GT,1,600.0,200.0,,,,,,,,,,,,,,,,,0.0
265,47.97,GT,1,350.0,350.0,75.0,,,,25.0,,,,,,,,,,,,100.0
266,11.726,GT,1,150.0,300.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
267,18.655,GT,1,18.655,18.655,60.0,,,,20.0,20.0,,,,,,,,,,,100.0
268,15.99,GT,1,7.995,7.995,60.0,,,,20.0,20.0,,,,,,,,,,,100.0
269,7.7285,GT,2,3.9975,0.333125,75.0,,,,25.0,,,,,,,,,,,,100.0
270,42.64,GT,1,7.995,1.3325,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
271,200.0,HND,1,0.5329999999999999,1.0659999999999998,80.0,,,10.0,10.0,,,,,,,,,,,,100.0
272,15.99,HND,2,10.66,10.66,50.0,50.0,,,,,,,,,,,,,,,100.0
273,10.66,HND,2,7.462,0.6218333333333333,50.0,50.0,,,,,,,,,,,,,,,100.0
274,10.66,HND,2,7.462,7.462,50.0,,,,,,30.0,,,,,,,,,20.0,100.0
275,10.66,HND,2,6.396000000000001,1.066,50.0,,,,,,,,,,,,,,,50.0,100.0
276,31.98,HND,1,31.98,31.98,50.0,,,,50.0,,,,,,,,,,,,100.0
277,200.0,SLV,1,50.0,50.0,80.0,,,10.0,10.0,,,,,,,,,,,,100.0
278,100.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
279,35.0,SLV,1,25.0,8.333333333333334,90.0,,,,10.0,,,,,,,,,,,,100.0
280,300.0,SLV,1,25.0,12.5,75.0,,,,25.0,,,,,,,,,,,,100.0
281,53.300000000000004,HND,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,,100.0
282,26.650000000000002,HND,1,30.0,60.0,,,,,100.0,,,,,,,,,,,,100.0
283,42.64,HND,1,31.98,31.98,50.0,40.0,,,10.0,,,,,,,,,,,,100.0
284,150.0,SLV,1,150.0,150.0,60.0,,,,40.0,,,,,,,,,,,,100.0
285,90.0,SLV,1,60.0,60.0,80.0,,,,20.0,,,,,,,,,,,,100.0
286,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
287,300.0,SLV,1,200.0,400.0,50.0,50.0,,,,,,,,,,,,,,,100.0
288,300.0,SLV,1,150.0,150.0,,,,33.0,33.0,34.0,,,,,,,,,,,100.0
