,avg_income_currency,avg_income_amount,AVG_INCOME_USD,country,rural_urban,remesa_currency,remesa_amount,REMESA_AMOUNT_USD,remesa_freq,REMESA_AMOUNT_REGPERMONTH,remittances_yn,remesa_amount_consent,avg_income_consent,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
15,,,,HND,1,2.0,102.5,13.325,3.0,13.325,1,1.0,99,60.0,20.0,,20.0,,,,,,,,,,,,
16,,,,HND,1,,,,3.0,,1,0.0,0,50.0,25.0,,,,,25.0,,,,,,,,,
17,,,,HND,1,,,,,,0,,0,,,,,,,,,,,,,,,,
18,,,,HND,1,,,,,,0,,99,,,,,,,,,,,,,,,,
19,,,,SLV,2,1.0,75.0,75.0,7.0,6.25,1,1.0,0,100.0,,,,,,,,,,,,,,,
20,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
21,1.0,500.0,500.0,SLV,2,1.0,100.0,100.0,4.0,50.0,1,1.0,1,20.0,,,80.0,,,,,,,,,,,,
22,1.0,500.0,500.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
23,1.0,180.0,180.0,SLV,2,1.0,150.0,150.0,5.0,50.0,1,1.0,1,,,,,,,,,,,,,,,,
24,1.0,542.0,542.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
25,1.0,750.0,750.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
26,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
27,1.0,300.0,300.0,SLV,2,1.0,200.0,200.0,8.0,,1,1.0,1,60.0,40.0,,,,,,,,,,,,,,
28,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
29,1.0,1000.0,1000.0,SLV,2,,,,6.0,,1,99.0,1,100.0,,,,,,,,,,,,,,,
30,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
31,1.0,300.0,300.0,SLV,2,,,,99.0,,1,99.0,1,40.0,30.0,,30.0,,,,,,,,,,,,
32,1.0,300.0,300.0,SLV,2,,,,3.0,,1,0.0,1,100.0,,,,100.0,,,,,,,,,,,
33,,,,SLV,2,,,,8.0,,1,0.0,0,,100.0,,,,,,,,,,,,,,
34,,,,SLV,2,,,,5.0,,1,0.0,0,50.0,25.0,,,25.0,,,,,,,,,,,
35,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
36,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
38,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
39,1.0,180.0,180.0,SLV,2,1.0,110.0,110.0,2.0,220.0,1,1.0,1,60.0,20.0,,,20.0,,,,,,,,,,,
40,1.0,300.0,300.0,SLV,2,1.0,100.0,100.0,99.0,,1,1.0,1,100.0,,,,,,,,,,,,,,,
41,1.0,800.0,800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
42,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
43,1.0,200.0,200.0,SLV,1,,,,3.0,,1,0.0,1,50.0,50.0,,,,,,,,,,,,,,
44,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
45,1.0,400.0,400.0,SLV,2,,,,3.0,,1,0.0,1,100.0,,,,,,,,,,,,,,,
46,1.0,70.0,70.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
47,1.0,280.0,280.0,SLV,2,1.0,100.0,100.0,7.0,8.333333333333334,1,1.0,1,80.0,20.0,,,,,,,,,,,,,,
48,,,,SLV,2,,,,6.0,,1,0.0,0,,20.0,,,,,,,,,,80.0,,,,
49,1.0,800.0,800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
50,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
51,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
52,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
53,1.0,300.0,300.0,SLV,2,,,,6.0,,1,99.0,1,75.0,10.0,,,15.0,,,,,,,,,,,
54,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
55,1.0,2700.0,2700.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
56,1.0,500.0,500.0,SLV,2,,,,5.0,,1,0.0,1,,,,80.0,,,,,,,,,,,,20.0
57,1.0,708.0,708.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
58,1.0,300.0,300.0,SLV,2,1.0,50.0,50.0,4.0,25.0,1,1.0,1,100.0,,,,,,,,,,,,,,,
59,1.0,350.0,350.0,SLV,2,1.0,250.0,250.0,6.0,41.66666666666666,1,1.0,1,35.0,35.0,,,30.0,,,,,,,,,,,
60,1.0,1050.0,1050.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
61,1.0,250.0,250.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
62,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
63,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
64,1.0,1500.0,1500.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
65,1.0,75.0,75.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
66,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
67,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
68,1.0,200.0,200.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
69,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
70,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
71,1.0,2000.0,2000.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
72,1.0,350.0,350.0,SLV,2,1.0,50.0,50.0,8.0,,1,1.0,1,50.0,,50.0,,,,,,,,,,,,,
73,1.0,500.0,500.0,SLV,2,1.0,120.0,120.0,3.0,120.0,1,1.0,1,,,,100.0,,,,,,,,,,,,
74,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
75,,,,SLV,2,,,,8.0,,1,0.0,0,,,,,,,,,,,,,,,,
76,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
77,1.0,400.0,400.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
78,1.0,200.0,200.0,SLV,2,,,,7.0,,1,0.0,1,20.0,,,,30.0,,,,,,,,,,,
79,1.0,2000.0,2000.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
80,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
81,1.0,1500.0,1500.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
82,1.0,360.0,360.0,SLV,2,1.0,100.0,100.0,4.0,50.0,1,1.0,1,50.0,,,50.0,,,,,,,,,,,,
83,1.0,660.0,660.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
84,1.0,300.0,300.0,SLV,2,1.0,25.0,25.0,5.0,8.333333333333334,1,1.0,1,60.0,,,,,40.0,,,,,,,,,,
85,,,,SLV,1,1.0,50.0,50.0,6.0,8.333333333333334,1,1.0,0,100.0,,,,,,,,,,,,,,,
86,,,,SLV,2,1.0,200.0,200.0,8.0,,1,1.0,0,,100.0,,,,,,,,,,,,,,
87,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
88,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
89,1.0,400.0,400.0,SLV,2,,,,3.0,,1,0.0,1,60.0,,,,20.0,,,,,,,,,,,20.0
90,1.0,1600.0,1600.0,SLV,2,1.0,400.0,400.0,3.0,400.0,1,1.0,1,50.0,,,,50.0,,,,,,,,,,,
91,1.0,150.0,150.0,SLV,2,1.0,50.0,50.0,8.0,,1,1.0,1,,40.0,,,60.0,,,,,,,,,,,
92,1.0,400.0,400.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
93,1.0,300.0,300.0,SLV,2,1.0,50.0,50.0,3.0,50.0,1,1.0,1,100.0,,,,,,,,,,,,,,,
94,1.0,245.0,245.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
95,,,,SLV,2,1.0,50.0,50.0,8.0,,1,1.0,99,100.0,,,,,,,,,,,,,,,
96,1.0,270.0,270.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
97,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
98,1.0,300.0,300.0,SLV,2,1.0,500.0,500.0,5.0,166.66666666666666,1,1.0,1,,100.0,,,,,,,,,,,,,,
99,1.0,1000.0,1000.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
100,1.0,300.0,300.0,SLV,2,,,,99.0,,1,0.0,1,50.0,50.0,,,,,,,,,,,,,,
101,1.0,800.0,800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
102,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
103,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
104,1.0,320.0,320.0,SLV,2,1.0,150.0,150.0,2.0,300.0,1,1.0,1,50.0,25.0,,,25.0,,,,,,,,,,,
105,1.0,200.0,200.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
106,1.0,1500.0,1500.0,SLV,2,,,,6.0,,1,99.0,1,100.0,,,,,,,,,,,,,,,
107,,,,SLV,2,,,,3.0,,1,99.0,99,80.0,,,,20.0,,,,,,,,,,,
108,1.0,4500.0,4500.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
109,,,,SLV,2,1.0,50.0,50.0,4.0,25.0,1,1.0,0,50.0,50.0,,,,,,,,,,,,,,
110,1.0,4000.0,4000.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
111,1.0,800.0,800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
112,1.0,800.0,800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
113,1.0,450.0,450.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
114,1.0,650.0,650.0,SLV,2,,,,5.0,,1,,1,,,,,,,,,,,,,,,,
115,,,,SLV,2,1.0,75.0,75.0,8.0,,1,1.0,99,100.0,,,,,,,,,,,,,,,
116,,,,SLV,2,1.0,60.0,60.0,6.0,10.0,1,1.0,99,100.0,,,,,,,,,,,,,,,
117,1.0,100.0,100.0,SLV,2,1.0,300.0,300.0,5.0,100.0,1,1.0,1,70.0,,,,30.0,,,,,,,,,,,
118,1.0,100.0,100.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
119,1.0,600.0,600.0,SLV,2,1.0,200.0,200.0,3.0,200.0,1,1.0,1,50.0,25.0,,,25.0,,,,,,,,,,,
120,1.0,1200.0,1200.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
121,1.0,300.0,300.0,SLV,2,1.0,200.0,200.0,4.0,100.0,1,1.0,1,,,,,,,,,,,,,,,,
122,1.0,400.0,400.0,SLV,2,1.0,350.0,350.0,3.0,350.0,1,1.0,1,20.0,10.0,,,70.0,,,,,,,,,,,
123,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
124,1.0,400.0,400.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
125,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
126,1.0,280.0,280.0,SLV,2,,,,5.0,,1,0.0,1,80.0,20.0,,,,,,,,,,,,,,
127,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
128,1.0,600.0,600.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
129,1.0,1800.0,1800.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
130,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
131,1.0,150.0,150.0,SLV,2,,,,4.0,,1,0.0,1,60.0,,,,20.0,,,,20.0,,,,,,,
132,,,,SLV,2,1.0,2000.0,2000.0,8.0,,1,1.0,0,,100.0,,,,,,,,,,,,,,
133,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
134,,,,SLV,2,1.0,150.0,150.0,8.0,,1,1.0,99,80.0,,20.0,,,,,,,,,,,,,
135,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
136,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
137,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
138,1.0,400.0,400.0,SLV,2,,,,4.0,,1,,1,,,,,,,,,,,,,,,,
139,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
140,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
141,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
142,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
143,1.0,300.0,300.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
144,1.0,240.0,240.0,SLV,1,,,,7.0,,1,0.0,1,30.0,,,,,,,,,,,,,,,
145,3.0,195.0,7.995,GT,1,3.0,130.0,5.33,2.0,10.66,1,1.0,1,100.0,,,,,,,,,,,,,,,
146,3.0,195.0,7.995,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
147,3.0,65.0,2.665,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
148,3.0,39.0,1.599,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
149,3.0,234.0,9.594,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
150,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
151,1.0,350.0,350.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
152,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
153,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
154,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
155,1.0,250.0,250.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
156,1.0,75.0,75.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
157,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
158,1.0,180.0,180.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
159,1.0,80.0,80.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
160,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
161,1.0,300.0,300.0,SLV,2,,,,7.0,,1,99.0,1,100.0,,,,,,,,,,,,,,,
162,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
163,,,,SLV,2,,,,3.0,,1,99.0,0,100.0,,,,,,,,,,,,,,,
164,,,,SLV,1,,,,,,0,,0,,,,,,,,,,,,,,,,
165,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
166,,,,SLV,1,,,,,,0,,0,,,,,,,,,,,,,,,,
167,1.0,90.0,90.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
168,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
169,3.0,78.0,3.198,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
170,3.0,130.0,5.33,GT,1,3.0,130.0,5.33,3.0,5.33,1,1.0,1,50.0,,,,,,,,,,,,,50.0,,
171,3.0,104.0,4.264,GT,1,3.0,39.0,1.599,3.0,1.599,1,1.0,1,50.0,50.0,,,,,,,,,,,,,,
172,,,,GT,1,,,,,,0,,99,,,,,,,,,,,,,,,,
173,,,,GT,1,,,,,,0,,99,,,,,,,,,,,,,,,,
174,3.0,260.0,10.66,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
175,3.0,247.0,10.127,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
176,3.0,156.0,6.396,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
177,3.0,585.0,23.985,GT,1,3.0,195.0,7.995,3.0,7.995,1,1.0,1,75.0,25.0,,,,,,,,,,,,,,
178,3.0,780.0,31.98,GT,1,3.0,260.0,10.66,5.0,3.553333333333333,1,1.0,1,50.0,,,,,,50.0,,,,,,,,,
179,3.0,650.0,26.65,GT,1,3.0,260.0,10.66,2.0,21.32,1,1.0,1,50.0,,,,30.0,,20.0,,,,,,,,,
180,3.0,520.0,21.32,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
181,,,,GT,1,,,,,,0,,0,,,,,,,,,,,,,,,,
182,3.0,260.0,10.66,GT,1,,,,,,0,,1,,,,,,,,,,,,,,,,
183,3.0,1300.0,53.3,GT,1,3.0,325.0,13.325,1.0,57.2975,1,1.0,1,,,,,,,100.0,,,,,,,,,
184,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
185,1.0,300.0,300.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
186,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
187,1.0,180.0,180.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
188,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
189,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
190,1.0,400.0,400.0,SLV,1,1.0,60.0,60.0,4.0,30.0,1,1.0,1,100.0,,,,,,,,,,,,,,,
191,1.0,400.0,400.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
192,1.0,180.0,180.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
193,1.0,150.0,150.0,SLV,1,1.0,100.0,100.0,3.0,100.0,1,1.0,1,80.0,20.0,,,,,,,,,,,,,,
194,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
195,1.0,100.0,100.0,SLV,1,1.0,100.0,100.0,3.0,100.0,1,1.0,1,50.0,50.0,,,,,,,,,,,,,,
196,1.0,140.0,140.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
197,1.0,230.0,230.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
198,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
199,1.0,100.0,100.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
200,,,,SLV,1,1.0,150.0,150.0,3.0,150.0,1,1.0,0,40.0,60.0,,,,,,,,,,,,,,
201,1.0,300.0,300.0,SLV,1,1.0,150.0,150.0,3.0,150.0,1,1.0,1,60.0,20.0,,,20.0,,,,,,,,,,,
202,1.0,150.0,150.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
203,,,,SLV,1,1.0,200.0,200.0,5.0,66.66666666666667,1,1.0,99,50.0,50.0,,,,,,,,,,,,,,
204,1.0,700.0,700.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
205,,,,SLV,1,,,,,,0,,0,,,,,,,,,,,,,,,,
206,1.0,600.0,600.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
207,1.0,400.0,400.0,SLV,2,1.0,100.0,100.0,6.0,16.666666666666668,1,1.0,1,100.0,,,,,,,,,,,,,,,
208,1.0,550.0,550.0,SLV,2,1.0,150.0,150.0,3.0,150.0,1,1.0,1,100.0,,,,,,,,,,,,,,,
209,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
210,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
211,1.0,500.0,500.0,SLV,2,1.0,250.0,250.0,3.0,250.0,1,1.0,1,40.0,,,,10.0,,50.0,,,,,,,,,
212,,,,SLV,2,1.0,600.0,600.0,6.0,100.0,1,1.0,0,75.0,25.0,,,,,,,,,,,,,,
213,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
214,1.0,700.0,700.0,SLV,2,1.0,400.0,400.0,3.0,400.0,1,1.0,1,50.0,25.0,,25.0,,,,,,,,,,,,
215,1.0,350.0,350.0,SLV,2,1.0,25.0,25.0,5.0,8.333333333333334,1,1.0,1,100.0,,,,,,,,,,,,,,,
216,1.0,450.0,450.0,SLV,2,1.0,100.0,100.0,3.0,100.0,1,1.0,1,,,,,,,,,,,,,,,,100.0
217,,,,SLV,2,,,,8.0,,1,0.0,0,50.0,50.0,,,,,,,,,,,,,,
218,1.0,3000.0,3000.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
219,1.0,1300.0,1300.0,SLV,2,1.0,200.0,200.0,3.0,200.0,1,1.0,1,,,,,,,,,,,,,,,,
220,1.0,500.0,500.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
221,,,,SLV,2,,,,3.0,,1,0.0,0,50.0,50.0,,,,,,,,,,,,,,
222,1.0,250.0,250.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
223,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
224,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
225,1.0,700.0,700.0,SLV,2,1.0,50.0,50.0,3.0,50.0,1,1.0,1,,70.0,,,,,,,,,,,,,,
226,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
227,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
228,1.0,200.0,200.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
229,1.0,150.0,150.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
230,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
231,1.0,150.0,150.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
232,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
233,1.0,100.0,100.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
234,1.0,450.0,450.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
235,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
236,1.0,250.0,250.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
237,1.0,150.0,150.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
238,1.0,100.0,100.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
239,1.0,100.0,100.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
240,1.0,150.0,150.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
241,3.0,182.0,7.462000000000001,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
242,3.0,130.0,5.33,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
243,3.0,65.0,2.665,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
244,,,,GT,2,,,,,,0,,0,,,,,,,,,,,,,,,,
245,3.0,208.0,8.528,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
246,1.0,250.0,250.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
247,1.0,200.0,200.0,SLV,1,1.0,150.0,150.0,3.0,150.0,1,1.0,1,70.0,30.0,,,,,,,,,,,,,,
248,1.0,380.0,380.0,SLV,1,1.0,40.0,40.0,9.0,,1,1.0,1,100.0,,,,,,,,,,,,,,,
249,3.0,845.0,34.645,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
250,3.0,52.0,2.132,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
251,,,,GT,2,3.0,260.0,10.66,2.0,21.32,1,1.0,99,,,,,,,,,,,,,,100.0,,
252,3.0,520.0,21.32,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
253,3.0,260.0,10.66,GT,2,,,,,,0,,1,,,,,,,,,,,,,,,,
254,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
255,,,,SLV,1,,,,3.0,,1,0.0,0,50.0,50.0,,,,,,,,,,,,,,
256,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
257,,,,SLV,1,,,,,,99,,99,,,,,,,,,,,,,,,,
258,1.0,200.0,200.0,SLV,1,1.0,150.0,150.0,3.0,150.0,1,1.0,1,100.0,,,,,,,,,,,,,,,
259,1.0,40.0,40.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
260,1.0,200.0,200.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
261,1.0,150.0,150.0,SLV,1,,,,,,0,,1,,,,,,,,,,,,,,,,
262,,,,SLV,1,,,,,,0,,99,,,,,,,,,,,,,,,,
