q_index,question,label,type,sample_rsp
p3_9/99,,mig_int_pref_no_plan/99,mco,
p3_10,3.10 Have you made any preparations to move to another part of the country?,mig_int_preparacion,y_n_ns,
p3_10_1,3.10.1 What preparation have you made to move to another part of the country?,mig_int_pref_preparacion,mc,
p3_10_1/1,,mig_int_pref_preparacion/1,mco,
p3_10_1/2,,mig_int_pref_preparacion/2,mco,
p3_10_1/3,,mig_int_pref_preparacion/3,mco,
p3_10_1/4,,mig_int_pref_preparacion/4,mco,
p3_10_1/5,,mig_int_pref_preparacion/5,mco,
p3_10_1/6,,mig_int_pref_preparacion/6,mco,
p3_10_1/99,,mig_int_pref_preparacion/99,mco,
p3_11,3.11 What are the reasons why you would like to move to another part of the country but not to a foreign country?,why_int_not_ext,t,
p3_12,3.12 What are the main reasons why you would like to continue living in this country and in your current place of residence?,mig_motivo_stay,mc,9
p3_12/1,,mig_motivo_stay/1,mco,0
p3_12/2,,mig_motivo_stay/2,mco,0
p3_12/3,,mig_motivo_stay/3,mco,0
p3_12/4,,mig_motivo_stay/4,mco,0
p3_12/5,,mig_motivo_stay/5,mco,0
p3_12/6,,mig_motivo_stay/6,mco,0
p3_12/7,,mig_motivo_stay/7,mco,0
p3_12/8,,mig_motivo_stay/8,mco,0
p3_12/9,,mig_motivo_stay/9,mco,1
p3_12/99,,mig_motivo_stay/99,mco,0
p3_12_1,3.12.1 What is the other reason why you would like to continue living in this country and in your current place of residence?,mig_motivo_stay_other,t,Ya estoy muy viejo
note_mig_2,,note_mig_2,,
p3_13,3.13 How many people in the household or who have been part of the household have migrated or tried to migrate abroad in the last 5 years?,no_mig_ext,c,0
p3_27,"3.27 In general, do you consider that migration abroad brings more good or bad consequences to families?",mig_ext_opinion,c,4
p3_28,3.28 What do you consider to be the three main good consequences of migration abroad for families?,mig_ext_opinion_good,mc,
p3_28/1,,mig_ext_opinion_good/1,mco,
p3_28/2,,mig_ext_opinion_good/2,mco,
p3_28/3,,mig_ext_opinion_good/3,mco,
p3_28/4,,mig_ext_opinion_good/4,mco,
p3_28/5,,mig_ext_opinion_good/5,mco,
p3_28/6,,mig_ext_opinion_good/6,mco,
p3_28/7,,mig_ext_opinion_good/7,mco,
p3_28/99,,mig_ext_opinion_good/99,mco,
p3_29,3.29 What do you consider to be the three main bad consequences of migration abroad for families?,mig_ext_opinion_bad,mc,
p3_29/1,,mig_ext_opinion_bad/1,mco,
p3_29/2,,mig_ext_opinion_bad/2,mco,
p3_29/3,,mig_ext_opinion_bad/3,mco,
p3_29/4,,mig_ext_opinion_bad/4,mco,
p3_29/5,,mig_ext_opinion_bad/5,mco,
p3_29/6,,mig_ext_opinion_bad/6,mco,
p3_29/7,,mig_ext_opinion_bad/7,mco,
p3_29/8,,mig_ext_opinion_bad/8,mco,
p3_29/9,,mig_ext_opinion_bad/9,mco,
p3_29/99,,mig_ext_opinion_bad/99,mco,
note_remesa_1,,note_remesa_1,,
p3_30,"3.30 In the last 12 months, has your household received financial aid from abroad?",remittances_yn,y_n_ns,1
note_remesa_2,,note_remesa_2,,
p3_31,3.31 How is the person who sends the financial aid with the greatest impact related to the person (s) who receive it?,remesa_parentesco,mc,3
p3_31/1,,remesa_parentesco/1,mco,0
p3_31/2,,remesa_parentesco/2,mco,0
p3_31/3,,remesa_parentesco/3,mco,1
p3_31/4,,remesa_parentesco/4,mco,0
p3_31/5,,remesa_parentesco/5,mco,0
p3_31/6,,remesa_parentesco/6,mco,0
p3_31/7,,remesa_parentesco/7,mco,0
p3_31/8,,remesa_parentesco/8,mco,0
p3_31/9,,remesa_parentesco/9,mco,0
p3_31/10,,remesa_parentesco/10,mco,0
p3_31/11,,remesa_parentesco/11,mco,0
p3_31/12,,remesa_parentesco/12,mco,0
p3_31/13,,remesa_parentesco/13,mco,0
p3_31/14,,remesa_parentesco/14,mco,0
p3_31/15,,remesa_parentesco/15,mco,0
p3_31/99,,remesa_parentesco/99,mco,0
p3_32,3.32 How many people in your household are directly benefited by the financial aid you receive?,no_benifciaries,n,1
p3_33,3.33 What is the main occupation of the person sending financial aid from abroad?,remesa_remit_ocupacion,c,1
p3_34,3.34 Have you been aware of how long you have received financial aid from abroad?,remesa_aware,y_n_ns,1
p3_34_1,Number of years that you have received financial aid from abroad:,remesa_years,n,5
p3_34_2,Number of months that you have received financial aid from abroad:,remesa_months,n,60
p3_35,3.35 How often do you receive financial aid from abroad?,remesa_freq,c,1
p3_36,3.36 Has the economic aid received from abroad been affected by the COVID-19 pandemic?,remesa_covid,c,2
p3_37,3.37 What type of financial aid does the household receive with the greatest impact?,remesa_tipo,c,1
p3_38,3.38 Could you indicate how much money you regularly receive per shipment?,remesa_amount_consent,y_n_ns,0
p3_38_1,Please indicate the currency with which you will enter the remittance amount:,remesa_currency,moneda,
p3_38_2,Amount of the remittance:,remesa_amount,n,
p3_39,3.39 What do you mainly use the cash assistance you receive for?,remesa_efectivo_uso,mc,1
p3_39/1,,remesa_efectivo_uso/1,mco,1
p3_39/2,,remesa_efectivo_uso/2,mco,0
p3_39/3,,remesa_efectivo_uso/3,mco,0
p3_39/4,,remesa_efectivo_uso/4,mco,0
p3_39/5,,remesa_efectivo_uso/5,mco,0
p3_39/6,,remesa_efectivo_uso/6,mco,0
p3_39/7,,remesa_efectivo_uso/7,mco,0
p3_39/8,,remesa_efectivo_uso/8,mco,0
p3_39/9,,remesa_efectivo_uso/9,mco,0
p3_39/10,,remesa_efectivo_uso/10,mco,0
p3_39/11,,remesa_efectivo_uso/11,mco,0
p3_39/12,,remesa_efectivo_uso/12,mco,0
p3_39/13,,remesa_efectivo_uso/13,mco,0
p3_39/14,,remesa_efectivo_uso/14,mco,0
p3_39/15,,remesa_efectivo_uso/15,mco,0
p3_39/16,,remesa_efectivo_uso/16,mco,0
p3_39/99,,remesa_efectivo_uso/99,mco,0
note_remesas_parity,Please indicate the percentage of how you use the financial aid you receive from abroad,note_remesas_parity,,
p3_39_1,Food purchase:,remesa_efectivo_uso_pct/1,n,100
p3_39_2,Health expenses (medicines / medical consultation):,remesa_efectivo_uso_pct/2,n,
p3_39_3,"Expenses related to COVID-19 (protection supplies, medical consultation, medicines):",remesa_efectivo_uso_pct/3,n,
p3_39_4,Education expenses:,remesa_efectivo_uso_pct/4,n,
p3_39_5,"Payment of services (water, electricity, cable, internet, communication):",remesa_efectivo_uso_pct/5,n,
p3_39_6,Clothes and shoes:,remesa_efectivo_uso_pct/6,n,
p3_39_7,Housing (construction or repair):,remesa_efectivo_uso_pct/7,n,
p3_39_8,Housing rental fee:,remesa_efectivo_uso_pct/8,n,
p3_39_9,Home purchase fee:,remesa_efectivo_uso_pct/9,n,
p3_39_10,Purchase of agricultural inputs:,remesa_efectivo_uso_pct/10,n,
p3_39_11,Business (trade):,remesa_efectivo_uso_pct/11,n,
p3_39_12,Saving:,remesa_efectivo_uso_pct/12,n,
p3_39_13,Payment of commitments of members residing abroad:,remesa_efectivo_uso_pct/13,n,
p3_39_14,Payment of the travel debt of the sender:,remesa_efectivo_uso_pct/14,n,
p3_39_15,Payment of other debts:,remesa_efectivo_uso_pct/15,n,
p3_39_16,Other:,remesa_efectivo_uso_pct/16,n,
note_remesa_suma,,note_remesa_suma,,
p3_40,3.40 Where do you collect the money they send you?,remesa_efectivo_cobro,mc,2 4
p3_40/1,,remesa_efectivo_cobro/1,mco,0
p3_40/2,,remesa_efectivo_cobro/2,mco,1
p3_40/3,,remesa_efectivo_cobro/3,mco,0
p3_40/4,,remesa_efectivo_cobro/4,mco,1
p3_40/5,,remesa_efectivo_cobro/5,mco,0
p3_40/6,,remesa_efectivo_cobro/6,mco,0
p3_40/7,,remesa_efectivo_cobro/7,mco,0
p3_40/8,,remesa_efectivo_cobro/8,mco,0
p3_40/9,,remesa_efectivo_cobro/9,mco,0
p3_40/10,,remesa_efectivo_cobro/10,mco,0
p3_40/11,,remesa_efectivo_cobro/11,mco,0
p3_40/99,,remesa_efectivo_cobro/99,mco,0
p3_41,3.41 Who decides how the money sent from abroad should be spent?,remesa_efectivo_who,c,2
p3_42,3.42 What is the gender of the person (s) who decides (s) how to spend the money that is sent from abroad?,sexo_ambos,c,2
p3_43,3.43 What type of goods or services do you regularly receive from abroad?,remesa_especie,mc,
p3_43/1,,remesa_especie/1,mco,
p3_43/2,,remesa_especie/2,mco,
p3_43/3,,remesa_especie/3,mco,
p3_43/4,,remesa_especie/4,mco,
p3_43/5,,remesa_especie/5,mco,
p3_43/6,,remesa_especie/6,mco,
p3_43/7,,remesa_especie/7,mco,
p3_43/8,,remesa_especie/8,mco,
p3_43/9,,remesa_especie/9,mco,
p3_43/99,,remesa_especie/99,mco,
note_mig_3,,note_mig_3,,
p3_44,"3.44 In the last 5 years, how many people in your household constantly travel back and forth to other country (s)?",mig_pend_ppl,n,0
note_mig_4,,note_mig_4,,
p3_49,"3.49 In the last 5 years, how many people from your household or who have been part of your household have migrated or migrate to other area (s) of the country?",mig_int_ppl,n,0
note_fcs_1,,note_fcs_1,,
note_fcs_2,"In the past 7 days, on how many days did the people in your household eat the following foods:",note_fcs_2,,
fcs_staples,"4.1 Cereals, roots and tubers",fcs_staples,n,7
fcs_pulses,"4.2 Legumes, nuts and dried seeds",fcs_pulses,n,7
fcs_dairy,"4.3 Milk, dairy products and other derivatives",fcs_dairy,n,1
fcs_proteins,"4.4 Meat, egg and fish",fcs_proteins,n,1
fcs_flesh_meat,4.4a Fresh meats,fcs_flesh_meat,n,1
fcs_organ_meat,4.4b Viscera red,fcs_organ_meat,n,0
fcs_fish,4.4c Fish / Seafood,fcs_fish,n,0
fcs_eggs,4.4d Eggs,fcs_eggs,n,1
fcs_veg,"4.5 Vegetables, greens, leaves and greens",fcs_veg,n,4
fcs_orange_veg,4.5a Orange vegetables,fcs_orange_veg,n,2
fcs_green_veg,4.5b Leafy greens,fcs_green_veg,n,0
fcs_fruits,4.6 Fruits,fcs_fruits,n,2
fcs_orange_fruit,4.6a Orange fruits,fcs_orange_fruit,n,2
fcs_fats,4.7 Fats,fcs_fats,n,7
fcs_sugars,4.8 Sugars and sweets,fcs_sugars,n,7
fcs_condiments,"4.9 Spices, condiments and drinks",fcs_condiments,n,7
note_rcsi,,note_rcsi,,
rcsi_less_qlty,"5.1 During the past 7 days, how many times has someone in your household eaten less preferred or cheaper foods?",rcsi_less_qlty,n,0
rcsi_borrow,"5.2 During the last 7 days, how many times has someone in your household borrowed food (on credit) or had the help of friends and family?",rcsi_borrow,n,0
rcsi_meal_adult,"5.3 During the past 7 days, how many times have the adults in your household reduced the amount of food consumed for the children to eat?",rcsi_meal_adult,n,0
rcsi_meal_size,"5.4 During the past 7 days, how many times has someone in your household reduced the size of food portions?",rcsi_meal_size,n,0
rcsi_meal_nb,"5.5 During the past 7 days, how many times has someone in your household reduced the number of meals eaten per day?",rcsi_meal_nb,n,0
rcsi_no_eat,"5.6 During the past 7 days, how many times has someone in your household gone whole days without eating?",rcsi_no_eat,n,0
note_lcsi,,note_lcsi,,
lcsi_food_credit,"6.1 During the past 30 days, has anyone in your household bought food on credit (on credit)?",lcsi_food_credit,LCSI,2
lcsi_borrow,"6.2 During the past 30 days, has anyone in your household borrowed money to buy food?",lcsi_borrow,LCSI,2
lcsi_sent_family,"6.3 During the past 30 days, did someone in your household send people in the household to eat with friends or family?",lcsi_sent_family,LCSI,2
lcsi_reduced_exp,"6.4 During the past 30 days, did anyone in your household reduce spending on health and education?",lcsi_reduced_exp,LCSI,2
lcsi_sold_hh_assets,"6.5 During the past 30 days, did anyone in your household sell household assets or goods (TV, washing machine, furniture, refrigerator, kitchen, etc.)?",lcsi_sold_hh_assets,LCSI,2
lcsi_sold_livelihoods_assets,"6.6 During the last 30 days, did anyone in your household sell productive assets (basic tools to carry out work)?",lcsi_sold_livelihoods_assets,LCSI,2
lcsi_sold_vehicle,"6.7 During the last 30 days, did anyone sell the household's means of transport (car, motorcycle, bicycle, animal for transport, etc.)?",lcsi_sold_vehicle,LCSI,2
lcsi_sold_properties,"6.8 During the past 30 days, did anyone in your household sell your house, land, or property?",lcsi_sold_properties,LCSI,2
lcsi_school_dropout,"6.9 During the last 30 days, did someone in your household take the children out of school to contribute to the household economy?",lcsi_school_dropout,LCSI,2
lcsi_informal_job,"6.10 During the last 30 days, did anyone in your household find it necessary to seek informal, risky, poorly paid or daily paid work (wages)?",lcsi_informal_job,LCSI,2
lcsi_ext_migration,"6.11 During the last 30 days, did anyone in your household have to migrate abroad due to lack of food?",lcsi_ext_migration,LCSI,2
lcsi_food_for_work,"6.12 During the last 30 days, did anyone in your household have to work for food (and not money)?",lcsi_food_for_work,LCSI,2
lcsi_begging,"6.13 During the past 30 days, did anyone in your household have to go out and ask for money on the streets?",lcsi_begging,LCSI,2
note_gastos_mensual,,note_gastos_mensual,,
p7_1,7.1 Please select the currency with which you will enter the information of the expenses in the last 30 days:,exp_currency,moneda,2
exp_monthly_food,"7.2 In the last 30 days, how much did your household spend on FOOD?",exp_monthly_food,n,2000
exp_monthly_drinking_water,"7.3 In the last 30 days, how much did your household spend on DRINKING WATER?",exp_monthly_drinking_water,n,300
exp_monthly_water,"7.4 In the last 30 days, how much did your household spend on HOUSEHOLD WATER?",exp_monthly_water,n,0
exp_monthly_rent,"7.5 In the last 30 days, how much did you spend on the HOUSING payment (rent or payment for own housing)?",exp_monthly_rent,n,0
exp_monthly_electric_power,"7.6 In the last 30 days, how much did your household spend on ELECTRICITY / LIGHT?",exp_monthly_electric_power,n,500
exp_monthly_hygiene,"7.7 In the last 30 days, how much did you spend on PERSONAL HYGIENE AND HOUSEHOLD PRODUCTS?",exp_monthly_hygiene,n,0
exp_monthly_transport,"7.8 In the last 30 days, how much did your household spend on TRANSPORTATION?",exp_monthly_transport,n,0
exp_monthly_communication,"7.9 In the last 30 days, how much did your household spend on COMMUNICATION (plans, recharges and internet)?",exp_monthly_communication,n,500
exp_monthly_fuel,"7.10 In the last 30 days, how much did your household spend on FUELS (firewood, coal, gas, kerosene)?",exp_monthly_fuel,n,0
exp_monthly_other,"7.11 In the last 30 days, how much did you spend on alcohol, tobacco, hairdressing, makeup / aesthetics or any other expense?",exp_monthly_other,n,0
p7_12,"7.12 In the last 30 days, how has the household income been to cover the purchase of food?",income_exp_food,c,2
p7_13,"7.13 In the last 30 days, how has the household income been to cover transportation, housing, services, communication, fuel and hygiene products?",income_exp_other,c,2
note_gastos_6meses,,note_gastos_6meses,,
p7_14,7.14 Please select the currency with which you will enter the information of the expenses in the last 6 months:,exp_6months_currency,moneda,2
exp_6months_health,"7.15 In the last 6 months, how much did your household spend on health care and medical expenses?",exp_6months_health,n,2000
exp_6months_clothing,"7.16 In the last 6 months, how much did your household spend on CLOTHES AND SHOES?",exp_6months_clothing,n,0
exp_6months_education,"7.17 In the last 6 months, how much did your household spend on EDUCATION (tuition, uniforms, etc.)?",exp_6months_education,n,0
exp_6months_debt,"7.18 In the last 6 months, how much did your household pay in DEBT?",exp_6months_debt,n,0
exp_6months_social,"7.19 In the last 6 months, how much did your household spend on celebrations or SOCIAL EVENTS?",exp_6months_social,n,0
exp_6months_inputs,"7.20 In the last 6 months, how much did your household spend on PRODUCTIVE SUPPLIES?",exp_6months_inputs,n,0
exp_6months_savings,"7.21 In the last 6 months, how much did your household SAVE?",exp_6months_savings,n,0
exp_6months_repairhouse,"7.22 In the last 6 months, how much did your home spend on HOUSING CONSTRUCTION OR REPAIR?",exp_6months_repairhouse,n,0
p7_23,"7.23 In the last 6 months, how has the household income been to cover health, education, clothing, debt, social events and / or home repair expenses?",income_sufficiency_6m,c,2
note_mdv1,,note_mdv1,,
p8_1a,8.1a Main source to cover basic needs:,hh_income_first,c,12
p8_1a_otro,Please specify:,hh_income_first_other,t,
p8_1b,8.1b What percentage of the total household income provides this livelihood?,hh_income_first_pct,n,100
p8_1c,8.1c Enter the temporality of the livelihood:,hh_income_first_temp,c,1
p8_2a,8.2a Second source to cover basic needs:,hh_income_second,c,16
p8_2a_otro,Please specify:,hh_income_second_other,t,
p8_2b,8.2b What percentage of the total household income provides this livelihood?,hh_income_second_pct,n,
p8_2c,8.2c Enter the temporality of the livelihood:,hh_income_second_temp,c,
p8_3a,8.3a Third source to cover basic needs:,hh_income_third,c,
p8_3a_otro,Please specify:,hh_income_third_other,t,
p8_3b,8.3b What percentage of total household income does this livelihood provide?,hh_income_third_pct,n,
p8_3c,8.3c Enter the temporality of the livelihood:,hh_income_third_temp,c,
note_mdv2,,note_mdv2,,
p8_4,8.4 Did one or more people in your household lose their job or business due to the COVID-19 pandemic?,mdv_imp_covid_job,c,0
p8_5,8.5 How has the COVID-19 pandemic impacted your family's sources of income?,mdv_imp_covid_ing,c,2
p8_6,8.6 Could you indicate what is the average income in your household per month?,avg_income_consent,y_n_ns,99
p8_6_1,8.6.1 Please indicate the currency with which you enter the deposit amount:,avg_income_currency,moneda,
p8_6_2,8.6.2 Monthly income:,avg_income_amount,n,
p8_7,8.7 Does the household have savings at this time?,saving_yn,y_n_ns,0
p8_8,8.8 How many months do you think the household could support with your savings?,saving_months,n,
p8_9,8.9 Does the household have any debt or credit to pay at this time?,debt_yn,y_n_ns,0
p8_10,8.10 What was the main reason why you applied for the loan or the household got into debt?,mdv_deuda,c,
p8_11,8.11 What is the main source of credit for all current debts and loans?,mdv_deuda_fuente,c,
p8_12,8.12 Could you indicate how much is the total debt (s) that the household has to pay at this time?,debt_consent,y_n_ns,
p8_12_1,8.12.1 Please indicate the currency with which you enter the debt amount:,debt_currency,moneda,
p8_12_2,8.12.2 Debt:,debt_amount,n,
p8_13,8.13 In how many months do you think you will be able to pay your debts or credit?,debt_months,n,
p8_14,8.14 Do you or does anyone in your household have an account in a bank?,bank_account,y_n_ns,1
p8_15,8.15 What is the sex of the person (s) who have a bank account?,bank_account_owner_sex,sexo_ambos,2
p9_1,"9.1 During the last 6 months, has your household received support from any government program?",assist_yn,y_n_ns,0
p9_2,9.2 What kind of support has your household received from the government?,programas_asistencia_gob,mc,
p9_2/1,,programas_asistencia_gob/1,mco,
p9_2/2,,programas_asistencia_gob/2,mco,
p9_2/3,,programas_asistencia_gob/3,mco,
p9_2/4,,programas_asistencia_gob/4,mco,
p9_2/5,,programas_asistencia_gob/5,mco,
p9_2/6,,programas_asistencia_gob/6,mco,
p9_2/7,,programas_asistencia_gob/7,mco,
p9_2/8,,programas_asistencia_gob/8,mco,
p9_2/99,,programas_asistencia_gob/9,mco,
p9_2/9,,programas_asistencia_gob/99,mco,
p9_3,"9.3 During the last 6 months, has your household received benefits from a church, NGO, private company and / or the United Nations?",programas_asistencia_yn,y_n_ns,0
p9_4,"9.4 What kind of support has your household received from a church, NGO, private company and / or the United Nations?",programas_asistencia,mc,
p9_4/1,,programas_asistencia/1,mco,
p9_4/2,,programas_asistencia/2,mco,
p9_4/3,,programas_asistencia/3,mco,
p9_4/4,,programas_asistencia/4,mco,
p9_4/5,,programas_asistencia/5,mco,
p9_4/6,,programas_asistencia/6,mco,
p9_4/7,,programas_asistencia/7,mco,
p9_4/8,,programas_asistencia/8,mco,
p9_4/99,,programas_asistencia/99,mco,
p10_1,10.1 What is the main source of drinking water in your home?,fuente_agua_beber,c,1
p10_2,"10.2 What is the main source of water for domestic use in your home (cleaning, hygiene, irrigation)?",fuente_agua_hh,c,1
p10_3,10.3 Does your home have electricity?,electricity_yn,y_n,1
p10_4,"10.4 If you do not have electricity, what sources does your home use to produce energy?",energia_alt,mc,
p10_4/1,,energia_alt/1,mco,
p10_4/2,,energia_alt/2,mco,
p10_4/3,,energia_alt/3,mco,
p10_4/4,,energia_alt/4,mco,
p10_4/5,,energia_alt/5,mco,
p10_4/6,,energia_alt/6,mco,
p10_4/99,,energia_alt/99,mco,
p10_5,10.5 What type of fuel is cooked in your home?,cooking_fuel,c,1
p10_6,10.6 What is the main way to dispose of garbage in your home?,desechos_solidos,c,5
p11_1,11.1 What type of home does your family live in?,vivienda_tipo,c,1
p11_2,11.2 What type of tenure does your homestead have?,vivienda_propiedad,c,1
p11_3,11.3 What sex is the person who has the title to the property?,property_owner_sex,sexo_ambos,2
p11_4,11.4 The predominant material of the flooring is:,material_piso,c,2
p11_5,11.5 The predominant material of the walls is:,material_paredes,c,1
p11_6,11.6 The predominant material of the roof is:,material_techo,c,1
p11_7,11.7 How many rooms are used exclusively for sleeping by the people in your household?,rooms,n,1
p11_8,11.8 What type of health service does the household use?,servicio_sanitario,c,3
note_activos_hh,11.9 Which of the following goods or services does your household own?,note_activos_hh,,
p11_9_1,Refrigerator / fridge:,fridge_yn,y_n,1
p11_9_2,Washer and / or dryer:,washer_yn,y_n,1
p11_9_3,Computer:,computer_yn,y_n,0
p11_9_4,Residential Internet:,internet_yn,y_n,0
p11_9_5,TV / screens:,tv_yn,y_n,1
p11_9_6,Cable TV:,cable_yn,y_n,1
p11_9_7,Gas or electric cooker:,gas_yn,y_n,1
p11_9_8,Landline:,landline_yn,y_n,0
p11_9_9,Water heater:,heater_yn,y_n,0
p11_9_10,Air-conditioning:,aircon_yn,y_n,0
p11_9_11,Microwave oven:,microwave_yn,y_n,0
p11_9_12,Water tank:,watertank_yn,y_n,0
p11_9_13,Car or motorcycle:,car_yn,y_n,0
p11_9_14,Stereo:,stereo_yn,y_n,0
p12_1,"12.1 In the last three years, has your home been impacted by any natural hazards?",shocks,mc,10
p12_1/1,,shocks/1,mco,0
p12_1/2,,shocks/2,mco,0
p12_1/3,,shocks/3,mco,0
p12_1/4,,shocks/4,mco,0
p12_1/5,,shocks/5,mco,0
p12_1/6,,shocks/6,mco,0
p12_1/7,,shocks/7,mco,0
p12_1/8,,shocks/8,mco,0
p12_1/9,,shocks/9,mco,0
p12_1/10,,shocks/10,mco,1
p12_1/99,,shocks/99,mco,0
p12_2,12.2 What are the top three concerns you have in the current circumstances?,p12_2_note,,
